championship_name,event,round,player_a,state_a,score_a,player_b,state_b,score_b,winner
38th National Games Uttarakhand,Recurve Women Individual,Bronze,Sonali Basumatary,Assam,2,Komalika Bari,Jharkhand,6,Komalika Bari
38th National Games Uttarakhand,Recurve Women Individual,Bronze,Deepika Kumari,Jharkhand,6,Simranjeet Kaur,Punjab,5,Deepika Kumari
38th National Games Uttarakhand,Recurve Women Individual,Bronze,Gatha Khadake,Maharashtra,6,Bhagora Bhargaviben,Gujarat,4,Gatha Khadake
38th National Games Uttarakhand,Recurve Women Individual,Bronze,Ruma Biswas,West Bengal,4,Anshika Kumari,Bihar,6,Anshika Kumari
38th National Games Uttarakhand,Recurve Women Individual,Bronze,Ankita Bhakat,Jharkhand,5,Komalika Bari,Jharkhand,6,Komalika Bari
38th National Games Uttarakhand,Recurve Women Individual,Bronze,Deepika Kumari,Jharkhand,6,Gatha Khadake,Maharashtra,5,Deepika Kumari
38th National Games Uttarakhand,Recurve Women Individual,Bronze,Anshika Kumari,Bihar,6,Komalika Bari,Jharkhand,4,Anshika Kumari
38th National Games Uttarakhand,Recurve Women Individual,Bronze,Deepika Kumari,Jharkhand,6,Anshika Kumari,Bihar,4,Deepika Kumari
38th National Games Uttarakhand,Recurve Women Individual,Bronze,Deepika Kumari,Jharkhand,,,,,
38th National Games Uttarakhand,Recurve Women Individual,Bronze,Gatha Khadake,Maharashtra,4,Komalika Bari,Jharkhand,6,Komalika Bari
38th National Games Uttarakhand,Recurve Women Individual,Bronze,Komalika Bari,Jharkhand,,,,,
38th National Games Uttarakhand,Compound Women individual,Round 1,Aditi Swami,Maharashtra,142,M Sreshta Reddy,Telangana,141,Aditi Swami
38th National Games Uttarakhand,Compound Women individual,Round 1,Sunaina Devi,Jammu and Kashmir,140,Shruti Jadaun,Rajasthan,142,Shruti Jadaun
38th National Games Uttarakhand,Compound Women individual,Round 1,Pragati,Delhi,146,Madhuravarshini Muruganantham,Tamil Nadu,145,Pragati
38th National Games Uttarakhand,Compound Women individual,Round 1,Avneet Kaur,Punjab,145,Samiksha Manaktala,Delhi,143,Avneet Kaur
38th National Games Uttarakhand,Compound Women individual,Round 1,Supyar Choudhary,Rajasthan,144,T Chikitha,Telangana,144,
38th National Games Uttarakhand,Compound Women individual,Round 1,Parneet Kaur,Punjab,144,Risha Rathi,Uttar Pradesh,137,Parneet Kaur
38th National Games Uttarakhand,Compound Women individual,Round 1,Swati Dudhwal,Rajasthan,143,Jasveer Kaur,Punjab,146,Jasveer Kaur
38th National Games Uttarakhand,Compound Women individual,Round 1,B Manasanayana,Telangana,144,Subbiksha Krishnan,Goa,142,B Manasanayana
38th National Games Uttarakhand,Compound Women individual,Round 1,Raginee Markoo,Madhya Pradesh,143,Madhura Dhamangaonkar,Maharashtra,146,Madhura Dhamangaonkar
38th National Games Uttarakhand,Compound Women individual,Round 1,Kumud Saini,Delhi,145,Angel,Haryana,142,Kumud Saini
38th National Games Uttarakhand,Compound Women individual,Round 1,Purvasha Shende,Maharashtra,144,Prithika,Maharashtra,146,Prithika
38th National Games Uttarakhand,Compound Women individual,Round 1,Raj Kumari,Jharkhand,143,Srishti Singh,Madhya Pradesh,144,Srishti Singh
38th National Games Uttarakhand,Compound Women individual,Round 1,Shanmukhi Budde,Andhra Pradesh,146,Deepshikha,Haryana,147,Deepshikha
38th National Games Uttarakhand,Compound Women individual,Round 1,Raj Kaur,Punjab,142,Sakshi Chaudhary,Uttar Pradesh,142,
38th National Games Uttarakhand,Compound Women individual,Round 1,Kshetrimayum Devi,Manipur,142,Krati Swami,Rajasthan,139,Kshetrimayum Devi
38th National Games Uttarakhand,Compound Women individual,Round 1,Mokshada Poharkar,Delhi,140,Madala Hamsini,Andhra Pradesh,147,Madala Hamsini
38th National Games Uttarakhand,Compound Women individual,Round 2,Aditi Swami,Maharashtra,147,Pragati,Delhi,146,Aditi Swami
38th National Games Uttarakhand,Compound Women individual,Round 2,Avneet Kaur,Punjab,143,Supyar Choudhary,Rajasthan,141,Avneet Kaur
