event_name,state_name,player_name,score
Recurve Men Individual,PUNJAB,ADITYA CHOUDHARY,642
Recurve Men Individual,ASSAM,DHANIRAM BASUMATARY,641
Recurve Men Individual,DELHI,SHAURYAVEER SINGH,638
Recurve Men Individual,DELHI,HARSHIT PAL,636
Recurve Men Individual,JHARKHAND,GURUCHARAN BESRA,626
Recurve Men Individual,RAJASTHAN,ATHARVA SHARMA,614
Recurve Men Individual,RAJASTHAN,ANUJ BHAMBHU,610
Compound Men Individual,DELHI,ABHISHEK VERMA,718
Compound Men Individual,HARYANA,RISHABH YADAV,714
Compound Men Individual,HARYANA,KUSHAL DALAL,713
Compound Men Individual,DELHI,PRIYANSH,712
Compound Men Individual,RAJASTHAN,JASMEET SINGH,712
Compound Men Individual,MADHYA PRADESH,CHIRAG VIDHYARTHI,712
Compound Men Individual,PUNJAB,UDAY KAMBOJ,711
Compound Men Individual,ANDHRA PRADESH,THIRUMURU MANI RATNAM,710
Compound Men Individual,MAHARASHTRA,SAHIL JADHAV,710
Compound Men Individual,RAJASTHAN,RAJAT CHAUHAN,710
Compound Men Individual,MAHARASHTRA,PRATHMESH FUGE,708
Compound Men Individual,JAMMU AND KASHMIR,HRITIK SHARMA,708
Compound Men Individual,HARYANA,MOHIT DAGAR,708
Compound Men Individual,MAHARASHTRA,TEJBEERSINGH JAHAGIRDAR,707
Compound Men Individual,PUNJAB,SUKHMANDEEP SINGH,707
Compound Men Individual,JHARKHAND,DEEPAK KUMAR,706
Compound Men Individual,MAHARASHTRA,OJAS DEOTALE,705
Compound Men Individual,JAMMU AND KASHMIR,AMIT THAKUR,705
Compound Men Individual,DELHI,AMAN SAINI,704
Compound Men Individual,SERVICES SPORTS CONTROL BOARD,KUNDERU VENKATADRI,704
Compound Men Individual,HARYANA,ROHIT DAGAR,704
Compound Men Individual,PUNJAB,SIMRANJOT SINGH,703
Compound Men Individual,RAJASTHAN,SIDDHARTH DUDHWAL,703
Compound Men Individual,CHHATTISGARH,TOMAN KUMAR,703
Compound Men Individual,DELHI,MADHUR,700
Compound Men Individual,JAMMU AND KASHMIR,AMIT THAKUR,702
Compound Men Individual,CHANDIGARH,NAVEEN,702
Compound Men Individual,TAMIL NADU,CHINNARAJU SRITHER,701
Compound Men Individual,PUNJAB,GURWINDER SINGH,701
Compound Men Individual,SERVICES SPORTS CONTROL BOARD,SHEKHER VAIDWAN,701
Compound Men Individual,SERVICES SPORTS CONTROL BOARD,CHITTIBOMMA JIGNAS,701
Compound Men Individual,UTTAR PRADESH,PRINCE RAJPUT,700
Compound Men Individual,JAMMU AND KASHMIR,SHUBHAM SHARMA,700
