event_name,name,state/unit
INDIAN ROUND (MEN),Jaspal Singh,Andman & Nicobar
INDIAN ROUND (MEN),BIPLAB SWARNAKAR,Andman & Nicobar
INDIAN ROUND (MEN),TUNTA JAYARAM,Andman & Nicobar
INDIAN ROUND (MEN),Vipul devaji baraf,Daman & Diu
INDIAN ROUND (WOMEN),DIPIKA PANDEY,AIPSCB
INDIAN ROUND (WOMEN),Laiphrakpam Rojina Devi,Manipur
INDIAN ROUND (WOMEN),Manisha Kumari,Jharkhand
INDIAN ROUND (WOMEN),Sapna kumari,AIPSCB
INDIAN ROUND (WOMEN),Nikita,Haryana
INDIAN ROUND (WOMEN),TUTUMONI BORO,Assam
INDIAN ROUND (WOMEN),Vedakshi Tomar,Uttar Pradesh
INDIAN ROUND (WOMEN),CHHAVI RANA,Uttar Pradesh
INDIAN ROUND (WOMEN),Divya,Haryana
INDIAN ROUND (WOMEN),sulochana raj,Chhattisgarh
